sentenca,categoria_maritaka
Experiência boa.. Ainda mais se for cedo,"comida, bebida"
"Sabor das carnes muito bom, podendo pedir o ponto da carne bem...Mais","comida, serviço"
Cerveja gelada,"a frase ""cerveja gelada"" contém apenas um tema identificado:

bebida"
Aceitam encomendas para datas festivas.,"serviço, outros"
"A entradinha, um caldo de tambaqui já abre alas pra uma boa experiência gastronômica.","comida, bebida"
Muito bom café da manhã e opções de bolo e sanduíches.,"comida, bebida"
"Primeira vez, ótima experiência.","comida, bebida, serviço"
"Atendimento muito ágil, ótimas opções de bebidas quentes e geladas e o pão de tucumã e castanha é simplesmente PER-FEI-TOO!","serviço, bebida, comida"
"Um lugar bonito, café boa e comida boa.","comida, bebida, ambiente"
Café regional maravilhoso.,bebida
A cerveja mais gelada de mais atendimento 100%,"<frase>
                bebida, serviço"
"Ambiente bem limpo e climatizado, também tem sucos naturais e saladas, bem como descontos com cartão fidelidade.","ambiente, comida, bebida, outros"
Não desejo esta horrível experiência à ninguém,"não é possível identificar temas específicos na frase fornecida, pois ela é muito vaga e não fornece informações detalhadas sobre a experiência no restaurante ela não contém sentenças relacionadas ao serviço, bebida, ambiente, comida, localização, preço ou geral do restaurante"
"Uma boa carta de vinhos, de várias nacionalidades, não me lembro de estar especificado no cardápio mas eles existem.",vinhos
"Grande variedade de Pizzas, de massa fina, no sistema rodizio, saborosas, o custo-benefício e´ um dos atrativos da casa.","comida, serviço, preço"
"O preço tá alto, a qualidade e quantidade das porções estão deprimentes, a carne vem com meio quilo de gordura derramando óleo e ignoram o ponto que o cliente pede... Foi triste essa última experiência!","comida, preço, serviço"
Ótimo ambiente e ótimas bebidas.,"ambiente, bebida"
"Experiência lamentável, sem exagero, pedi para ser atendido umas 3 vezes e os atendentes não vinham, passei aproximadamente 15 minutos em pé aguardando para sentar, depois de conseguir sentar passamos mais uns 25 minutos e não fomos atendidos.",serviço
"Ótimo lugar para ir com a família, bom atendimento, variedades de lanches, sorvetes bebidas e drinks.","comida, bebida, serviço"
"sempre que tenho tempo, tom meu café regional !","a frase fornecida não contém todos os temas solicitados, mas os temas identificados são:

- comida
- bebida"
Que café delicioso,"<frase>
                bebida"
Churrasco e variedades saborosas,comida
"Experiência maravilhosa, muito atencioso, educado, cortes, prestativo… ???????",serviço
"Atendimento ótimo do Senna, ambiente aconchegante,espaçoso, som com boa escolha de estilos, a comida 100% maravilhosa e bem servida.","serviço, ambiente, comida, bebida"
"ambiente super agradável, carne de primeira, atendimento excelente, cerveja gelada","<frase>
                ambiente, comida, serviço, bebida"
"Experiência muito boa, pista e bolas de boliche sem defeitos, boa comida... Um bom lugar pra se divertir!","comida, bebida, serviço, ambiente"
"Música ao vivo, bons drinks e com ótima apresentação.","bebida, ambiente"
"Adorei conhecer o local, tive uma boa primeira impressão.",geral
"Os pratos servidos lá conseguem combinar sabores regionais e ingredientes internacionais, o que começa com o caldinho de entrada.",comida
"Marcela foi super atenciosa <3 Petiscos deliciosos e no tempo, e as bebidas pra acompanhar ?","<frase>
                serviço, comida, bebida"
"Cerveja gelada, petiscos bons (especialmente o bolinho de bacalhau).","comida, bebida"
"Situado ao lado do Teatro Amazonas num sobrado antigo, esse espaço serve para um agradável  fim de noite para o público que vai ao Teatro.","localização, geral"
Enfim uma excelente opcao de lazer.,"<frase>
                geral"
"Ótimo atendimento, temperatura agradável","serviço, ambiente"
"Além de possuir cervejas amazonenses, possuem cervejas de todos os locais do Brasil (ex: Cerpa) Para comer, experimentei...Mais","cerveja, comida, serviço"
"Atendimento maravilhoso, bem localizado é um sushi divino.","serviço, localização, comida"
"ambiente agradável, bom bacalhau e boa carta de vinhos.","ambiente, comida, bebida"
"Ótimo lugar para um bom café regional, comer a vontade e preço justo!","comida, bebida, preço"
Experiência fantástica.,"a frase ""experiência fantástica"" é muito generalizada e não oferece informações específicas sobre nenhum aspecto do restaurante por isso, não é possível identificar temas específicos como serviço, bebida, ambiente, comida, localização, preço ou geral a frase parece expressar uma opinião abrangente sobre a experiência no restaurante de forma positiva, mas sem detalhes que permitam categorizar essa experiência em termos de serviço ou outros aspectos do restaurante"
Decoração de cachacaria e comida de restaurante de ponta.....chopp ou cerveja gelados e diversas opções de cachaça para abrir o apetite.,"ambiente, comida, bebida"
"Ótimo local para um happy hour, ótimo ambiente e muita gente bonita.","ambiente, outros"
"Comparativamente ao Coco Bambu de Brasília, achei os pratos melhores servidos de camarão.","comida, serviço"
"Caros amigos Turistas, não percam a oportunidade de tomar o melhor café regional de Manaus, muitas variedades de especiarias regionais, o famoso pão com tucumã, a tapioca bem quentinha, com castanha/queijo, banana frita, sucos regionais, cupuaçu, tapereba, goiaba, muito bom mesmo, não deixem de visitar!!","comida, bebida, outros"
Tive uma experiência não tão boa pedindo açaí via whatsapp na qual meu açaí veio com muito excesso de cobertura ( quase metade do copo) porém foram muito rápido e solícitos em resolver o problema.,"serviço, comida"
"?Som de boa qualidade, cerveja gelada!","som de boa qualidade, cerveja gelada"
"Comida muito boa, serviço de primeira, bons vinhos.","comida, serviço, bebida"
"Cerveja gelada, ambiente descontraído, música  de qualidade, gente interessante é de frente pro maior cartão postal da cidade (Teatro Amazonas)...","<frase>
                bebida, ambiente, música, localização, geral"
"Ótimo restaurante, cardápio repleto de comidas gostosas e com sabores divinos.","comida, serviço"
"Garçom Celso, ótimo atendimento, uma experiência incrível, super recomendo!","serviço, comida"
"Ótimo café, achei o preço um pouco elevado, mas o ambiente é realmente muito bacana.","<frase>
                bebida, preço, ambiente"
Cervejas regionais e petiscos para quem quer curtir.,"bebida, comida"
Cafe expresso delicioso!,bebida
Excelente experiência degustativa.,comida
"Tem a pedida tradicional que é o sanduíche de pernil e dependendo do dia um bom pagode, como se encontra no Rio.","comida, ambiente"
"Porém, alguns pontos precisam ser observados: A feijoada, carro-chefe do fds do bar, servida em estilo buffet por R$ 39,90, não estava numa boa temperatura, simplesmente tava do normal para o frio.","comida, preço"
"Tambaqui e pirarucu estavam no ponto certo e a farinha típica, com tempero especial!!!",comida
"Excelente lugar, ambiente climatizado, perfeito para um bom café, tudo de qualidade.","<frase>
                ambiente, bebida, geral"
"gostei muito,excelente atendimento,ótima degustação amei","serviço, comida, bebida"
Buffet livre com uma grande variedade de pratos regionais.,"comida, bebida"
"Muito bom, só deveria ter uma variedades maior de sobremesas","comida, bebida"
mesma embalagem vai pro microndas...otima ideia..e delicioso com preço bom...parabens frango mineiro,"comida, preço, outros"
"O Banzeiro é um restaurante mais sofisticado, com ar condicionado, bom atendimento, boas bebidas e um variado cardápio de comidas regionais.","comida, bebida, serviço, ambiente"
"Lugar agradável, atendimento maravilhoso, cerveja geladinha.","serviço, ambiente, bebida"
"Cerveja gelada, mesas na calçada e na via, Esquenta depois das 17 mas pode chegar antes para ouvir o chorinho.Vale demais a pena.Tem que conhecer.","bebida, ambiente, serviço, geral"
Café delicioso!!,café
Café regional muito bom.,"comida, bebida"
"Simplesmente um dos melhores senão o melhor para comer um hambúrguer delicioso, ambiente interno climatizado e externo arejado, estacionamento amplo e descoberto (o que não faz a menor diferença), e o principal, os melhores hambúrgueres da cidade de Manaus!","comida, ambiente, localização, outros"
Restaurante de comidas típicas maravilhosas.,comida
Cachaças e cervejas muito boas.,bebida
"Funcionários excelentes, rodízio bem servido, muito barulho ( normal para um público jovem).","serviço, comida, outros"
Hambúrguer delicioso e de qualidade!,comida
Excelente experiência.,geral
"O Paulo deixou a gente muito confortável, atendeu muito bem, comida deliciosa.","serviço, comida"
Uma das melhores festas de Manaus,"comida, bebida, serviço"
"Refrigerante quente, falta de educação dos funcionários estrangeiros .","refrigerante quente, falta de educação dos funcionários estrangeiros

os temas identificados são:
- bebida
- serviço"
"Música boa, gente bonita, cerveja gelada!","comida, bebida, ambiente"
"Cara que lugar bom, o atendimento é perfeito, e o café melhor ainda.","serviço, bebida"
"Má atendimento, bebidas quentes e não inclusas.","serviço, bebida"
"Café típico da região e o famoso caboquinho, lanche típico","comida, bebida"
"A churrascaria tem um ambiente sofisticado com carnes nobres e saborosas além de bufês e guarnições que são preparadas na hora, os garçons são atenciosos e preparados, o preço diferente dos pratos, um pouco salgado.","serviço, comida, ambiente, preço"
Procurar uma embalagem melhor pra manteiga de garrafa que fica com a mão pegajosa depois que se serve!,"a partir da frase fornecida:

""procurar uma embalagem melhor pra manteiga de garrafa que fica com a mão pegajosa depois que se serve!""

os temas identificados são:

outros"
"Carnes diversas, acompanhamentos saborosos, e atendimento maravilhoso.","comida, serviço"
"Melhor menu, excelente carta de vinhos!","menu, vinhos"
Tradicional em Manaus... Ótima comida e grande diversidade de bebidas,"comida, bebida"
"Café regional normal, simples, com todas as opções regionais, mas sem muito destaque.","comida, bebida"
Boa carta de vinho.,vinho
"Atendimento ótimo do DENYS, muito educado, gente boa, muito bom ??",serviço
"Experiência ótima, comida de primeira, atendimento vip .","comida, serviço"
Com opção de carnes nobres.,comida
Bom eu fui no café da br-174 no Km 12.,"comida, bebida, localização"
Cerveja gelada e boa carta de vinhos.,bebida
"De A a Z, desde o atendimento sem o mínimo de preparo para uma simples venda dos pratos da casa, a bebida (cerveja quente) e...Mais","serviço, bebida, comida"
O único problema é o barulho insuportável dos clientes conversando alto.,"como a frase fornecida não menciona diretamente nenhum dos temas relacionados a restaurantes (serviço, bebida, ambiente, comida, localização, preço ou geral), ela seria classificada como ""outros"", pois refere-se a um problema de barulho que não está relacionado a nenhum dos aspectos específicos de um restaurante"
Vinho delicioso!,"vinho delicioso!

temas identificados:
- bebida"
Um ótimo lugar para curtir uma cerveja geladinha e a boa música brasileira.,"bebida, ambiente"
"Hambúrgueres excelentes, drinks muito bem servidos.","comida, bebida, serviço"
ótimo local para tomar uma cerveja gelada e passar o tempo com amigos.,"bebida, ambiente"
Boa cerveja e chope bem gelado.,bebida
"Boa refeição, só não gostei foi da cobrança da brinquedoteca, que por sinal, estava um forno muito quente.","comida, outros"
"O famoso bolinho de feijoada é sempre uma boa pedida, porém a tradicionais picanha na chapa, super tradicional da casa ficou à desejar, chegou extremamente frio, com cara...Mais","comida, serviço"
"Sabores surpreendentes, como a pizza amazonia, que leva diferentes ervas.",comida
"Possui atendimento rápido, espaço grande e disponibilidade para pequenas e grandes reservas!","serviço, ambiente"
Garçons com um excelente treinamento e as carnes com ótimos cortes e comida muito gostosa.,"serviço, comida"
Tapioca e sucos regionais muito bom.,"comida, bebida"
"Experiência absurda , muito bom!!!!","comida, bebida, serviço, ambiente, preço, localização, geral"
"Excelente café regional, tudo maravilhoso, atendimento muito bom, o x-caboquinho muito bom, bananas fritas deliciosas, tapiocas maravilhosa, só e uma pena funcionar nos fim de semana.","comida, bebida, serviço"
"A idéia das cervejas especiais é bem vinda, desde que estejam no cardápio, belgas frutadas, inglesas lupuladas, alemãs tradicionais e ipa e ales americanas somente, nada mais que 2 de cada tipo citado e apresentadas da maneira correta também.","bebida, outros"
Uma ótima experiência gastronômica.,comida
"Lugar tranquilo, climatizado, ótimo para se divertir com os amigos, além de um somzinho interativo (karaokê), tem petiscos deliciosos, banheiro disponível, garçons elevadíssimos, e um ambiente mais reservado para uma conversa com o crush.","ambiente, outros"
Que experiência maravilhosa com a gastronomia amazonense.,comida
"Café regional muito gostoso, para quem quer saborear uma ótima tapioca com gosto regional, é uma boa opção de local.","comida, bebida"
lugar ótimo de gente bonita e ambiente maravilhoso... Só uma obs não tem onde estacionar e isso é muito chato ainda mas este sábado passado que estava chovendo quase não saíamos do carro lamentável ?,"<frase>
                ambiente, outros, localização, outros"
Experiência muito agradável.,geral
"O ambiente é espaçoso, com música ao vivo e cerveja gelada.","ambiente, bebida"
Foi realmente uma experiência maravilhosa.,"<frase>

por favor, forneça a frase completa que você deseja analisar, para que eu possa identificar os temas contidos nela"
"Atendimento, comida e bebidas excelentes","atendimento, comida, bebidas"
Generosa e gostosa porção de pastéis  de queijo e música so vivo  de qualidade.,"comida, ambiente"
Ótimo experiência com a culinária local,comida
"Serve cerveja gelada, caipirinha e outras.",bebida
Café da manhã top!,café da manhã
"As bebidas chegam bem todavia o barulho do local incomoda quem quer conversar e saborear... alguns tira gostos existentes, os quais demoram muito para ficarem prontos e chegarem as pessoas que o solicitaram...","comida, bebida, serviço, ambiente, outros"
Tapioca muito deliciosa.,comida
"Olha.. estava dando 5 estrelas FÁCIL… até ver a conta.. estava tudo muito bom.. comida gostosa (com preço justo) e cerveja gelada.. mas qnd veio a conta vimos que estavam cobrando R$25,00 na cerveja tijuca.. estava no cardápio?","comida, bebida, serviço, preço"
"Melhor experiência, nunca tive....","a frase ""melhor experiência, nunca tive"" é muito breve e não contém informações detalhadas sobre os temas propostos não é possível extrair informações específicas sobre serviço, bebida, ambiente, comida, localização, preço ou geral, pois a frase não fornece detalhes sobre esses aspectos portanto, não é possível retornar uma saída com os nomes dos temas identificados na sentença, dado que não há temas identificáveis neste caso"
"Vá com calma e não se estresse, será uma boa experiência, as pizzas são boas!","comida, serviço"
Melhor opção de carnes vermelhas em Manaus.,comida
Há sucos naturais e cerveja gelada.,"bebida, ambiente"
"Um lugar ótimo para tomar uma cerveja bem gelada, ótimo atendimento, petiscos e tira gostos muito bons, além dos pratos da cozinha portuguesa.","bebida, serviço, comida"
"Festas temáticas, ótimas comidas e claro, atendimento 100%  Obrigado pela vivência.","comida, serviço"
Ambiente agradável e pessoal atencioso.,"serviço, ambiente"
"Visitei o Café Priscila numa quarta-feira, foi uma boa experiência.","comida, bebida, ambiente, localização, preço, geral"
"Espaço p crianças, diversão para adultos e petiscos deliciosos, e tem estacionamento.","ambiente, outros"
"O atendimento foi maravilhoso, ganhei um desconto comprando 1 torta e 1 cento de salgadinho de bolinha de queijo (unica opcao que tinha).","serviço, comida, outros"
"Mais uma vez ,surpreendido com essa maravilha de cardápio, agora com outras poções exuberante, como sempre atendentes atenciosos, 'mais' desta vez precisou da ajuda de sua gerente para indicar um bom vinho, que por sua vez super agradável na combinação indicada por ela, tudo maravilhoso...Mais","serviço, bebida, comida"
Destaque para os drinks com sabores locais.,bebida
Experiência maravilhosa.,"comida, bebida, serviço, ambiente"
Carta de vinhos ótima também.,bebida
"Super aconchegante, café delicioso","ambiente, comida, outros"
"Estive em fevereiro de 2020, experimentei o serviço de lanche da tarde com buffet livre R$ 25,00 por pessoa, incluindo bebidas, sanduíches e tapioca.","serviço, bebida, comida"
Excelente restaurante com variedades diversas  e bom atendimento.,"serviço, comida"
"Muito boa surpresa em serviço, comida regional muito boa, lugar extremamente agradável e muito bom serviço, com o pessoal muito prestativo e atenciosos... Muito bom vale a pena ir.","serviço, comida, ambiente, geral"
"Mas se você pode pagar diariamente, bom apetite.!!","<frase>
                preço"
"Ao tomar o Café vc viaja nas nuvens com a pureza do café moído na hora, simplesmente apaixonante.",café
"Fui com um grupo grande de 24 pessoas e eles se atrapalharam com o serviço, servindo cada prato em momentos diferentes, tendo pessoas ainda sem terem sido servidas quando...Mais","serviço, comida"
Bom café e ambiente agradável,"<saída>
                ambiente, bebida"
Ótima refeição com atendimento de qualidade e sabores incríveis.,"comida, serviço"
Vários sabores muito saborosos por um bom preço :),"comida, preço"
"Para a minha primeira impressão, Tive uma experiência agradável, fui bem atendido e me admirei com a eficiência dos pedidos não tem miséria.","serviço, ambiente"
"Gente finíssima, atencioso e engraçado.",serviço
"Carnes muito saborosas, porém, pouca variedade.",comida
"Fomos bem atendidos, com explicações detalhadas da composição dos produtos produzidos e o serviço de café delicioso.","serviço, bebida"
O dono é gente finíssima!,serviço
"Ótimo restaurante, um dos melhores sushi de Manaus .","comida, serviço"
"Atendimento, comida,ambiente... Sem dúvida e a melhor rede de restaurantes do Brasil!","serviço, comida, ambiente, geral"
Petiscos excelentes e cerveja mega geladaaa,"<frase>
                comida, bebida"
Uma grande variedades de cervejas importadas e ótimos pratos.,"bebida, comida"
"Comida excelente, cerveja gelada, e atividades acuáticas!","comida, bebida, outros"
"Ambiente incrível, e o melhor da culinária Portuguesa e Argentina, incluindo uma excelente carta de vinhos.","ambiente, comida, bebida"
"Ótimo ambiente, refrigerado, estacionamento, bom atendimento, chamada do garçom através de sinal eletrônico na mesa, tvs em ambos os lados, decoração com capas dos discos do Roberto Carlos e ótimas sobremesas","ambiente, serviço, outros"
"Doces, salgados e comida gostosa","comida, bebida"
Experiência única.,"comida, bebida, serviço"
"Lugar de gente bonita, comida boa e bebida para todos os gostos.","comida, bebida"
"Ambiente informal, cerveja gelada, cozinha portuguesa.","ambiente, bebida, comida"
"Pratos bem elaborados, peixe de rio, tempero excelente.",comida
"Carnes maravilhosas , custo benefício , atendimento de primeira , ambiente  Agradável , música ambiente sensacional","comida, serviço, ambiente, outros"
"Cerveja na temperatura ideal, o melhor do bar.",bebida
Doces deliciosos,comida
"Presencialmente, nunca passei por uma experiência ruim lá.",geral
"Venha conhecer uma bar com a cerveja super gelada, tira gostos saborosos e atendimento vip.","bebida, comida, serviço"
Pratos com ingredientes regionais simples que tornam-se exuberantes pela harmonia e preparo profissionais.,comida
"Tive uma pessima experiência, a pizza chegou fria, a massa parece uma panqueca grudenta, molho ruim borda ruim, nunca mais irei pedir.",comida
"Comida boa, porém a demora acabou deixando a experiência ruim.","comida, serviço"
"Possui um cardápio de pratos baseados na culinária Amazonense, possuindo grande diversidade de peixes no conteúdo.","comida, outros"
Ótimas combinações de sabores regionais.,comida
"Ótima comida Regional, ambiente super limpo, seguro, bem localizado, climatizado, cardápio em português e inglês, boa carta de vinhos, dispõe de uma brinquedoteca na parte inferior e um bom estacionamento com staff.","comida, ambiente, serviço, localização, preço, geral"
Experiência maravilhosa que tivemos para comemorar meu aniversário e noivado.,geral
"Muito bom essa churrascaria no também badalado Vieiralves, atendimento excelente ambiente muito agradável, vista panorâmica e uma variedade de carnes e opções de  outras cozinhas [japonesa] também, carta de vinho simples não muito longa porém com alguns bons rótulos.","comida, bebida, serviço, ambiente, localização"
Grande variedade e comidas e bebidas típicas.,"comida, bebida"
Excelente café regional em Manaus.,"bebida, comida"
Carne de sol deliciosa e cerveja gelada.,"comida, bebida"
Melhor tapioca grarinada de Manaus e os salgados uma delícia,"comida, outros"
INFELIZMENTE não tivemos a mesma experiência em Manaus.,"serviço, ambiente, comida"
Se o intuito é comer uma bela carne essa churrascaria é uma boa pedida.,comida
"Detalhe que não haviam mais de 5 mesas ocupadas, então fico imaginando a bagunça que deve ser num dia movimentado, e ainda tinha uma parte no restaurante (nos fundos) que estava uma bagunça, parecia um escritório desorganizado, passou uma péssima impressão.","ambiente, outros"
"Eu gosto de sempre jantar aqui, porém deveria ter opção de não participar do couvert artístico porque eu não suporto comer com música e sem falar que não dá para conversar com os amigos e familiares eu fico perturbando com música alta, deveria ter outro ambiente para sem som ou colocar somente som ambiente!","serviço, ambiente, outros"
"O melhor café de Manaus, atendentes incríveis, eu amo muito tudo...","bebida, serviço"
Petit gateau com ingredientes regionais fantástico.,comida
Há também produtos importados como refrigerante peruano.,bebida
"O serviço é atencioso e profissional mas parece de estar na praia do Futuro de Fortaleza: cada 10 minutos chega um garcon oferecendo algo: bebidas, saladas, sobremesas.","serviço, ambiente"
"Ambiente super agradável, boa comida, bom vinhos, recomendo sem medo de errar.","comida, bebida, ambiente"
Hambúrguer artesanal.,comida
Bar histórico...bom atendimento...cerveja bem gelada..bons petiscos.,"comida, bebida, serviço"
Cerveja sempre bem gelada.,"<frase>
                bebida"
Comemos um peixe a moda  coco bambu e um vinho pé tinto tudo pé tinto.,"comida, bebida"
Ótimo bar onde se encontra um Boa cerveja gelada e ótimo pagode..,"bar, cerveja, pagode"
cerveja geladinha,"cerveja geladinha não é suficiente para identificar um tema específico dentre os listados a frase não fornece informações sobre o serviço, ambiente, localização, preço, ou uma avaliação geral do restaurante portanto, não é possível retornar uma saída contendo os nomes dos temas identificados na sentença"
Restaurante de muito bom gosto e carnes maravilhosas.,"comida, ambiente"
"O preço da região é elevado, e o bar acompanha, mas o serviço e os tira gostos...Mais","serviço, bebida, preço"
"Grande variedade no buffet, carnes deliciosas e bom preço!","comida, preço"
Para comer uma boa pedida é o sanduíche de pernil e bolinhos de bacalhau.,comida
"Pra quem procura uma experiência gastronômica completa, com boa música, comida deliciosa e ambiente acolhedor recomendo muito.","comida, ambiente, música"
Uma excelente pedida.,"a frase ""uma excelente pedida"" não contém informações suficientes para identificar claramente os temas de serviço, bebida, ambiente, comida, localização, preço ou geral, uma vez que ela é muito genérica e não oferece detalhes específicos sobre a experiência no restaurante portanto, não é possível retornar uma saída com os nomes dos temas identificados na sentença"
"Uma culinária exótica com especiarias típicas da região, um local pequeno, com fila de espera (pelo menos quando fui tinha) porém aconchegante.","comida, ambiente, serviço, outros"
Muita gente final de semana,"a frase ""muita gente final de semana"" não contém informações suficientes para identificar os temas de serviço, bebida, ambiente, comida, localização, preço ou geral não é possível inferir nenhum desses temas a partir da frase fornecida"
"Com um café expresso forte, cítrico e muito bem tirado.","café, serviço"
"Ótima equipe, sempre muito atenciosos, ambiente muito agradável , ótima comida, ótimos vinhos, ótimas sobremesas.","serviço, ambiente, comida, bebida"
"... A palavra simplicidade ainda pode ser empregada para se referir ao comportamento de alguém, conotando o modo espontâneo e despretensioso da pessoa.","a frase fornecida não faz referência a um restaurante ou a qualquer um dos temas específicos relacionados a restaurantes portanto, não é possível identificar temas como serviço, bebida, ambiente, comida, localização, preço ou geral, já que a frase não trata de experiências ou avaliações de restaurantes"
"Oferecem translado, cerveja gelada, diversidade de comidas... Toca rock que é o diferencial.","comida, bebida, serviço, ambiente"
O melhor petisco de manaus,comida
"Os ingredientes regionais se transformam, se combinam, é felicidade em forma de comida.",comida
"Café regional, delicioso.","comida, bebida"
"O cardápio é sofisticado, tipico também, contudo, variado, tem bons vinhos e...Mais","<frase>

comida, bebida"
Gosto muito ambiente agradável e café delicioso,"ambiente, bebida"
"Nota 10 atendimento chopp geladinho e petiscos deliciosos,a casquinha de caranguejo então ?","<frase>
                serviço, bebida, comida"
Pense num café delicioso ??,"comida, bebida"
"No mais, fomos em um grupo grande para fazer aniversário é foi ótimo.",geral
O cardápio de cervejas especiais é muito limitado e as poucas cervejas são muito caras.,"bebida, preço"
"Chopp gelado, ótimos drinks e sucos maravilhosos, recomendo para datas comemorativas, aniversários ??","chopp, drinks, sucos, datas comemorativas, aniversários"
Tem chopes e cervejas internacionais.,"<saída>
                bebida, serviço"
Cerveja bem gelada.,bebida
"Quer ir em um lugar super agradável, com uma carta de vinhos interessante e um peixe indescritível, vá ao restaurante Banzeiro em Manaus.","serviço, ambiente, localização, preço, geral"
"Porém, em datas comemorativas o atendimento é bastante demorado.",serviço
"Obs: só 2 pessoas consumiram bebida alcoólica, 6 cervejas longneck.",bebida
"E um hambúrguer d tambaqui com pão d açaí, gostoso, embora pudesse ser mais caprichado ( pão maior, mais queijo…).",comida
"Fácil acesso, cerveja geladíssima, Pizza deliciosa e o acompanhamento tudo de primeira qualidade.","comida, bebida, serviço"
"Uma boa pedida é o cordeiro, muito bom!",comida
"Lugar maravilhoso, música boa,  bebida gelada e gente bonita ?","<frase>
                ambiente, bebida, outros"
Ja fui varias vezes super recomendo tem uma das melhores carnes de sol de manaus.,comida
"Parabéns ao garçom Luís Carlos, gente finíssima!",serviço
"O atendimento foi excepcional (ganhamos até uma cerveja artesanal de brinde), os petiscos bem servidos é bem gostosos, o preço é barato também, e o que deixa melhor...Mais","serviço, bebida, comida, preço"
(Tradução do Google) A boa notícia é que você vai conseguir um bom hambúrguer aqui.,comida
Boa experiência em Manaus.,"comida, bebida, serviço"
"Restaurante 5 estrelas, um dos melhores de Manaus, onde você se sente em casa almoçando ou jantando saboreando um bom vinho nacional ou importados, bem como os deliciosos licores.","<frase>
                comida, bebida"
"Um conjunto de bom ambiente com a simpatia dos garçons e as carnes especiais que são servidas, torna-se um excelente local para confraternizações e almoços executivos.","ambiente, serviço, comida"
Cerveja bem gelada!,bebida
"Excelente atendimento, pratos bem personalizados.. um excelente lugar para quem quer fugir do padrão, o ambiente super agradável e temático conforme as datas comemorativas, Recomendo","serviço, comida, ambiente, geral"
"Atendimento péssimo, acho que a atendente esperava eu entrar na cozinha pra preparar o meu próprio café.","serviço, bebida"
"Uma das melhores pizzarias de Manaus, excelente massa e recheio bem italiano.",comida
"Local muito bom pra realizar encontro com os amigos, rodízio de pizzas doces e salgados bem gostoso e diversificado e uma deliciosa cerveja bem gelada.","comida, bebida, serviço"
"Estivemos lá no último sábado, dia 12/03/16.","a frase fornecida não contém informações suficientes para identificar os temas solicitados, pois ela não apresenta nenhum comentário ou opinião sobre os aspectos do restaurante portanto, não é possível retornar uma saída com os nomes dos temas identificados, uma vez que não há temas para serem identificados na frase fornecida"
É sempre uma experiência incrível!,geral
"Atendimento ótimo, caipirinha deliciosa e chopp gelado","serviço, bebida"
"Lugar bom para um almoço rápido durante o horário de pico, mas se for fora dele os funcionários arrumando o salão é uma experiência horrível!","comida, serviço"
Prato bem servido e com sabor peculiar de um prato feito com ingredientes e modo preparo de alta...Mais,"comida, serviço"
"Com pratos sofisticados, ambiente aconchegante e atendimento intimista, o Banzeiro entrega uma ótima experiência gastronômica na amazônia.","comida, ambiente, serviço"
"Pedi o Pizzaiolo e a rede de pescador, muitos bons, fartos e saborosos!","comida, bebida, serviço"
"Um dos melhores restaurantes para se comemorar as melhores datas importantes em sua vida: aniversários, casamentos, reuniões de amigos entre outros.",geral
"Comida de qualidade, excelente atendimento, e cerveja geladinha.","comida, bebida, serviço"
Umas das cervejas mais geladas de Manaus,bebida
"Local ímpar para almoço, gente bonita, ótimo local para se refrescar e tomar um banho.","localização, outros"
Muito bom atendimento e não deixe de espirimentar seus tira gostos e a cerveja Amazon beer.,"serviço, bebida, comida"
"Ambiente familiar, muito bem estruturado, decoração impecável, uma mistura de pop rock, com cultura americana vintage... Vale a pena conhecer essa pizzaria com uma variedades de opção de sabores, um cardápio com muitas opções deliciosas com pizzas doces, salgadas, batata frita especial, hambúrguers , entre outros.... O estacionamento é amplo, mas precisa ainda de cuidados estruturais, melhorar o piso, e a estética da estrutura do prédio que fica a mostra, juntamente com as tubulações hídricas qu","<frase>

ambiente, comida, outros"
"Ótimo lugar para tomar um delicioso café regional ambiente aconchegante é climatizado, vale apena conferir.","comida, bebida, ambiente"
"Voltei mais uma vez neste paraíso flutuante, muita gente bonita comida excelente e musica top.","comida, bebida, ambiente, geral"
"adorei a comida do divino fogao, é tudo muito bem feito e lindo, com um profissionalismo sem igual, muito bom","comida, serviço"
"Ambiente reformado, salão refrigerado, bom espaço e muitas mesas faz do Bom Prato uma boa pedida para um almoço de negócios ou com amigos, o serviço é correto e ágil, a comida e simples porem muito boa especialmente a carne de sol, cerveja bem gelada...Mais","ambiente, serviço, comida, bebida"
"Melhor experiência, ótima comida.","comida, serviço"
"Avaliações positivas, espaço para crianças, aparente sucesso de uma rede de restaurantes, tudo poderia indicar uma excelente experiência.","geral, outros"
!Também foi servida um cerveja artesanal muito boa!,"bebida, serviço"
Boa carta de vinos.,"<saída>
                vinho"
Boa opção para provar o típico café regional.,"café, regional"
O melhor atendimento e os sabores maravilhoso super organizado !,"serviço, comida, bebida"
Gente esse lugar é incrível vale muito tomar um bom café aí.,"café, bom"
"Excelente atendimento, boas carnes, local para uma boa reunião de negócios e curtir com a família !!","serviço, comida, ambiente"
Péssimo só tem gente escrota principalmente as garçonetes e a gerente e a dona pq o dono é gente boa,"serviço, outros"
Foi uma experiência horrível.Eu não recomendo!,"comida, bebida, serviço"
"Recomendo o café mocha, que além de barato estava delicioso!","café mocha, barato, delicioso"
Foi ótima experiência local agradável e ótima comida e excelente atendimento!,"comida, serviço, ambiente"
Café excelente.,bebida
"Ótimo lugar, e ótima café da manhã","comida, bebida"
"Não é o melhor hambúrguer, mas você não ficará desapontado com expectativas médias.","comida, geral"
